"_ID","SUM_NUM","MEANING","FORECASE"
11,11,"พลังแห่งความขัดแย้งในตัวเอง","เป็นคนเข้าใจยาก มีบุคลิกสองอย่างขัดแย้งกัน การแสดงออกภายนอกอ่อน ไหว เรียบร้อย เป็นระเบียบ แต่ภายในหัวแข็ง ดื้อไม่ยอมใคร เป็นคนอาฆาตพยาบาท มักจะซ่อนบุคลิก ลักษณะอันแท้จริงไว้ภายในซึ่งทำให้คนอื่นอ่านยาก มักจะอำพรางส่วนลึกของจิตใจไม่ให้ใครเห็นใครรู้จนยากที่ใครจะทายใจได่ง่ายๆ มักจะเป็นคนหลงตัวเอง ทำอะไรคือชอบเอาตัวเองเป็นหลักไม่ชอบอะไรจะไม่โต้แย้งแต่จะเก็บและจำไว้ เป็นคนจู้จี้ขี้บ่น เป็นคนที่จัดว่าดื้อรั้นอย่างมาก จึงมักจะถูกพวกมากลากไป ชีวิตต้องต่อสู้ดิ้นรนฟันฝ่าอุปสรรคด้วยแข้งตัวเองตลอด จะเดือดร้อนเพราะเพื่อนพ้อง และความเชื่อมั่นใจตัวเองเสมอๆ เป็นคนที่มีความทะเยอทะยานสูงมาก ชอบการก้าวกระโดด ใฝ่ฝันต่อความก้าวหน้าอย่างเร่าร้อนรุนแรง มักจะตัดสินจออกมาในลักษณะเด็ดเดี่ยวแข็งกร้าว กล้าที่จะตัดสินใจ ต่อเหตุการณ์ร้ายแรงเด็ดขาดโดยไม่มีคาดฝันมาก่อน มักจะโดนหลอกได้ง่าย"
12,12,"พลังแห่ง2บุคลิกในคนเดียว","เป็นคนที่มีอารมณ์ขัดแย้งกันในตัวเอง เป็นคนมี 2 บุคลิกคือ บางครั้งดื้อรั้น มุทะลุดุดัน บางครั้งก่อนโยน ว่าง่ายเชื่อฟัง เวลาที่อยากเอาชนะใครจะต้องเอาชนะให้ได้ไม่ยอมคน ชอบการเอาชนะไม่ยอมสยบใครง่ายๆ การที่ไม่ยอมและแข็งๆแบบนี้ก่อให้เกิดอุบัติเหตุต่อชีวิตได้ง่าย จะมีโรคภัยไข้เจ็บเรื้อรัง ทำการสิ่งใดมักจะมีอุปสรรค ความใจร้อนทำให้เกิดอุบัติเหตุเสมอ และเป็นการก่อศัตรูเพิ่มอีกด้วย ชอบใจอ่อนระวังจะโดนหลอกได้ง่าย เรื่องความรักทุ่มเทสุดตัว แต่ถ้าอกหักล่ะ ไม่เป็นอันทำอะไรเลย และมีโอกาสถูกคนปองร้ายได้"
13,13,"แห่งการเปลี่ยนแปลงทั้งดีและร้าย","สามารถทำให้เกิดอิทธิพลได้ทั้งเรื่องดีและเรื่องร้ายเกิดขึ้นได้อย่างฉับพลัน จะมีการเปลี่ยนแปลงอย่างรวดเร็วทั้งดีและร้าย มีโอกาสได้ลาภลอยแต่ก็ต้องถูกหมดสิ้นไปอย่างรวดเร็ว ไม่คงทน จะมีอุบัติเหตุที่หนักๆในช่วงหนึ่งของชีวิต บางครั้งลาภที่ได้ก็เป็นแบบทุกข์ลาภได้มาแต่ต้องทุกข์ใจด้วย จะมีโอกาสเกิดการพลัดพรากจากครอบครัว ความรักไม่ราบรื่นทะเลาะกันบ่อยหรือยากที่จะได้พบรัก มีความทุกข์ในใจที่บอกใครไม่ได้เสมอ เดินทางบ่อย อยู่กับที่ไม่เป็น"
14,14,"พลังแห่งมีสติปัญญาไหวพริบและมงคล","เป็นเลขดีมาก มักจะส่งเสริมให้ชีวิตมีความรุ่งโรจน์รุ่งเรือง มีความรู้สติปัญญาเหนือคนอื่นๆ รู้เท่าทัน ไม่โดนคดโกงหลอกง่าย ทำงานประสบความสำเร็จ มีโอกาสก้าวหน้าได้อย่างรวดเร็วทางด้านหน้าที่การงาน เป็นคนสมองเฉียบแหลมว่องไว กล้าคิดกล้าทำหล้าตัดสินใจ มีชื่อเสียงกว้างไกล เป็นคนที่ยึดถือความถูกต้อง ชอบความยุติธรรม ซื่อสัตย์ ความรักก็ราบรื่นได้แฟนคู่ครองที่ดี ลูกหลานครอบครัวสบาย มีความเข้มแข็ง อดทน ต่อสู้อุปสรรคไม่ย่อท้อ จะติดอยู่บ้างตรงที่ ใจร้อน บางครั้งปากไวพูดไม่ระวังทำให้คนอื่นๆเสียใจได้ อาชีพ ทนายความ ผู้พิพากษา ฝ่ายจัดซื้อ บัญชี ตำแหน่งสูงๆในบริษัท ในสายงานจะดี"
15,15,"พลังแห่งเสน่ห์","เป็นเลขดีมาก มักจะเป็นคนมีเสน่ห์ มีอารมณ์ดี น่าดึงดูดใจเพศตรงข้าม มีมนุษย์สัมพันธ์ดี มีเพื่อนมาก และอาจจะมีโอกาสมีคนรักหลายๆคนได้ เพราะความอัธยาศัยดีของคุณ มีผู้หลักผู้ใหญ่ให้การสนับสนุนเสมอ คุณมีดีที่คำพูด วาจาเป็นเลิศ เข้ากับคนได้ทุกระดับ อ่านใจคนเก่ง มักจะได้รับของตอบแทน จากผู้อื่นเสมอๆ มีสติปัญหาดี รู้จักพลิกแพลงเรื่องต่างๆด้วยคำพูด แก้ผิดเป็นถูกได้อย่างไม่น่าเชื่อ ในช่วงที่มีอายุมากจะมีความสุขเพราะลูกหลานเงินทอง ชีวิตรุ่งเรือง ทำงานด้านที่ต้องใช้คำพูดทนายความ นักจัดรายการวิทยุ วิทยากร ฝ่ายฝึกอบรม นักธุรกิจ ฝ่ายบริหารงานลูกค้า การตลาด จะดี"
16,16,"พลังชีวิตที่ต้องฝ่าฟัน","ชะตาชีวิตจะส่งเสริมให้ชีวิตพบกับความสำเร็จอย่างผาดโผน มีชื่อเสียง มีอำนาจแบบชนิดคาดไม่ถึง จะได้ลาภหรือตำแหน่งใหญ่โต มีอำนาจ มีลูกน้องมาก ด้วยตำแหน่งที่ได้มาที่มักจะไปขัดแข้งขัดขาผู้อื่นเสมอ และมักจะมีคนไม่ชอบมาก จึงอาจจะโดนเลื่อยขาเก้าอี้ได้โดยง่ายเป็นคนที่มีความร้อนรุ่มในใจเสมอ มีอุปสรรคเยอะ จะทำอะไรสำเร็จต้องเหนื่อยอย่างมากก่อนจึงจะสำเร็จ"
17,17,"พลังแห่งความไม่แน่นอน","ชะตาชีวิตเป็นผู้มีปัญญาดี มีโอกาสมีความสำเร็จสูง แต่ก็ต้องเรียกว่าเหนื่อยมากๆกว่าจะสำเร็จหรือลองผิดลองถูกกันหลายครั้ง เป็นคนเข้าใจอะไรได้ง่าย สามารถหยั่งรู้เหตุการณ์ล่วงหน้าได้อย่างรวดเร็ว ช่วงที่ชีวิตประสบความสำเร็จอาจจะพบกับอุปสรรคหรือสิ่งที่ขัดขวางผลสำเร็จ มักจะถูกผู้ใหญ่กดดันและให้โทษเสมอๆ ทำให้ชีวิตขึ้นๆลงๆ ไม่แน่นอน เมื่อครั้งรับตำแหน่งใหญ่โตจะโดนทำให้ตกจากตำแหน่งได้ หรือไม่ก็มักจะถูกแย่งตำแหน่ง หน้าที่การงานมักจะไม่ยั่งยืนถาวร เมื่อจะก้าวหน้ามักมีอุปสรรคเสมอ"
18,18,"พลังชีวิตแห่งการเปลี่ยนแปลง","พลังจะส่งผลให้ไม่มีความมั่นคงในชีวิตช่วงเวลาที่เจริญมักจะมีเหตุปัจจัยให้ล่วงลงหนักๆ มีการโยกย้ายอยู่บ่อยๆ ชีวิตที่รุ่งโรจน์รุ่งเรือง มักตกต่ำลง ชีวิตมักจะพบกับสิ่งไม่คาดคิดอยู่เสมอ การจะกระทำสิ่งใดมักมีอำนาจมืดพลังร้ายบทบังแฝงอยู่ ควรจะทำอะไรอย่างรอบคอบ ความสำเร็จจะมีเป็นช่วงๆสลับกับการตกต่ำ ชีวิตครอบครัวมักแตกร้าวการทะเลาะวิวาท ครอบครัวไม่อบอุ่น มีเรื่องวุ่นวายใจเสมอ มีแต่ความผิดหวัง ดวงความรักแย่มากๆครับ ชะตาจะขึ้นสุดลงสุด ไม่แน่นอน"
19,19,"พลังแห่งความสำเร็จจากผู้อุปถัมภ์","เป็นเลขดีมาก เหมาะสำหรับผู้ชาย (สำหรับเลขทะเบียนผู้หญิงใช้ได้) ชอบศึกษาหาความรู้ ชีวิตมักประสบความสำเร็จจากผู้อื่นที่ใหญ่กว่า มีสติปัญญาดี ฉลาดหลักแหลม ได้รับความอุปการะจากผู้ใหญ่ จะได้รับเกียรติอย่างสูงในสังคม จะได้ตำแหน่งใหญ่โตในหน้าที่การงาน และมีความเชี่ยวชาญพิเศษทางการศึกษา ไม่อับจนมีคนช่วยเหลือ ส่งผลดีให้กับอนาคตพบกับความสำเร็จที่ยิ่งใหญ่ เลขนี้ดีกับผู้ชาย แต่เลข 19 นี้ไม่เหมาะกับผู้หญิง จะทำให้ตกพุ่มหม้ายกำพร้าพ่อก่อนแม่ บางครั้งส่งผลให้สามีตกจากตำแหน่ง หรือถูกแย่งงาน ชีวิตมักมีปัญหาเรื่องคู่ มักจะเป็นภรรยาน้อยของผู้อื่นหาตัวจริงไม่ได้ ถึงแม้จะประสบความสำเร็จในด้านอื่นๆก็ตาม ผู้ชายดีแต่ผู้หญิงควรเปลี่ยนครับ งานที่ดีจะเกี่ยวข้องกับการศึกษา ครู อาจารย์ นักวิชาการ งานที่ต้องใช้ความรู้ความสามารถมากๆ นักธุรกิจ นักวางแผนงาน โครงการต่างๆ"
20,20,"พลังแห่งความสำเร็จที่ต้องอาศัยผู้อื่นช่วยหนุนนำ","เป็นคนมักมีความมุ่งมั่นสูง รู้จักวางแผนรอบคอบ รักความก้าวหน้า ทะเยอทะยาน รักความสำเร็จ คาดหวังกับตัวเองเรื่องชีวิตสูงมาก มีจินตนาการกว้างไกล การจะสำเร็จต้องอาศัยผู้อื่น เพื่อนร่วมงาน ลูกน้อง มาช่วยประกอบกันจึงจะสำเร็จ เปลี่ยนแปลงไม่ชอบหยุดนิ่งอยู่กับที่ มีความทะเยอทะยาน เป็นคนมีความกระตือรือร้นอย่างรุนแรง กล้าเสี่ยงกล้าลอง เชื่อว่าสิ่งที่ตัวเองจะทำจะต้องสำเร็จ ควรจะทำบุญเสริมบารมีบ่อยๆจึงจะช่วยเสริมบารมีได้ เป็นคนลางสังหรณ์แม่นยำมาก กล้าคิดกล้าทำ แต่เรื่องความรักอาจจะไม่โดดเด่นเท่าเรื่องการงาน งานที่ดีเหมาะสมกับข้าราชการ พนักงานบริษัทที่ต้องอาศัยการไต่เต้าขึ้นไป หรืองานที่ต้องช่วยกันเป็นทีมโดยคุณเป็นคนคุมจึงจะสำเร็จ ผู้ใหญ่จะให้ การสนับสนุนได้ดีมาก"
21,21,"พลังแห่งการพลิกผัน","เป็นที่รู้จักของสังคมเข้าสังคม มักจะเป็นคนเด่น มีคนยกย่องให้เกียรติ มีคนเคารพยกย่อง นับถือ ดูดีภูมิฐานตลอดเวลา เป็นบุคคลสองลักษณะในตนเองคือ การแสดงออกภายนอก มักจะดูอ่อนแอ แต่จริงๆแล้วสภาพภายในเป็นคนกล้าแข็ง ทะเยอทะยาน ค้นหาความสำเร็จ เป็นคนเด็ดเดี่ยวกล้าตัดสินใจ มักจะมีสิ่งไม่คาดคิดเกิดแบบเฉียบพลันบ่อยๆเช่น การงานที่กำลังรุ่งเรืองต้องมามีเรื่องล้มไม่รู้ตัว อนาคตมัวหมอง อะไรที่เหมือนจะดีกลับต้องพลาดไปกลายเป็นร้าย ชีวิตเหนื่อยอยู่ ต้องดูแลผู้อื่นจนไม่ได้สนใจตัวเอง"
22,22,"พลังแห่งการเพ้อฝัน","เป็นคนเพ้อฝันมีอารมณ์อ่อนไหว เป็นคนละเอียดอ่อน เพ่อฝัน ทำอะไรไม่ประสบความสำเร็จเป็นชิ้นเป็นอัน ถูกผู้อื่นหลอกลวงได้โดยง่าย ทำให้การงานสิ่งใดไม่ประสบผลสำเร็จ มักเป็นคนชั่งคิดชั่งฝันมากกว่าเป็นนักปฏิบัติ เปลี่ยนใจง่าย แน่นอนไม่ค่อยได้ ทำให้ถูกหลอกลวง อยู่เสมอ ชอบสร้างวิมานในอากาศ เป็นคนหัวแข็ง ไม่รับฟังผู้อื่น ทำอะไรไม่เป็นหลักเป็นฐาน หลงละเมอเพ้อพกแต่สิ่งผิดๆ บางครั้งงมงายอย่างมาก ทำอะไรธุรกิจฝืดเคืองเพราะคิดแต่ไม่ทำจะโดนผู้อื่นตัดหน้าได้ เป็นคนเก็บกด ทุกข์ใจได้ง่าย ชอบเรื่องราวเร้นลับ ไสยศาสตร์มากกว่าทางพระทางเจ้า เชื่อแบบไม่มีเหตุผล"
23,23,"พลังเสน่ห์เมตตามหานิยม","เป็นเลขดี เหมาะกับผู้หญิง เป็นคนเข้มแข็ง อดทน ต่อสู้อุปสรรคต่างๆเพื่อให้สำเร็จ ชอบเอาชนะคนอื่นไม่ยอมคน เป็นเลขดีด้านชู้สาว ในด้านความรัก มักเป็นคนเจ้าชู้ถือความรักเป็นใหญ่ เป็นคนสนใจเรื่องการศึกษาหาความรู้ ชอบช่วยเหลือผู้อื่น เป็นคนโกรธง่าย หงุดหงิดง่าย เป็นคนที่โชคดีอย่างมากในเรื่องความรักเพศตรงข้าม มีเสน่ห์ใครๆก็หลง อาจจะเสียการงานเพราะผู้หญิง จะทำให้ชีวิตตกต่ำ หรือคู่ครองมักจะมีมลทิน เป็นคนใจร้อยต้องลดๆลงบ้าง ถ้าทำงานเกี่ยวข้องกับเพศตรงข้าม หรืองานที่ต้องอาศัยประโยชน์จากเพศตรงข้ามจะดี เบอร์นี้สุภาพสตรีก็จะดีแต่บุรุษอาจจะไม่ดีเท่ามีทั้งดีและร้าย จะเปลี่ยนเพื่อความสบายใจก็ได้ครับ"
24,24,"พลังแห่งมหามงคลความสำเร็จ","เป็นเลขดีมาก เป็นคนมีเพื่อนมาก และเพื่อนฝูงมักจะให้การอุปถัมภ์ค้ำชูเป็นอย่างดี เป็นค่าพลังที่สมบูรณ์มาก มีไหวพริบดี ฉลาด ไม่ถือตัว มีความเป็นมิตรมาก ใครมาขอความช่วยเหลือไม่เคยปฏิเสธ เป็นคนรอบคอบรู้จักวางแผน ประสบความสำเร็จดีมาก มีโอกาสได้ใกล้ชิดด้านศิลปะ จะประสบความสำเร็จมีชื่อเสียงจนถึงข้ามประเทศได้ เป็นคนมีกิริยามารยาท นุ่มนวลเป็นที่รักของคนทั่วไป เป็นคนมีสติปัญญาว่องไวแตกฉานมีเสน่ห์รุนแรง เป็นคนหยั่งรู้การณ์ไกล เข้าใจสิ่งแวดล้อมรอบตัวได้อย่างเอาใจเขามาใส่ใจเราได้ดี งานที่ให้ผลดีจะเกี่ยวข้องกับศิลปะ การค้าขาย การเจรจาต่อรอง ต่างๆ แต่ถ้าทางศิลปะจะดีมากๆแต่โดยรวมส่งผลได้เกือบทุกอาชีพเลย ควรทำบุญเสริมบารมีเสมอเพื่อให้ความราบรื่นมีอย่างต่อเนื่อง"
25,25,"พลังร้ายและพลังดี","การจะสำเร็จต้องผ่านอุปสรรคและการต่อสู้อย่างเหน็ดเหนื่อยก่อน จะต้องพบเจอกับทั้งเรื่องร้ายและดี จุดหมายสำเร็จแต่ก่อนที่จะสำเร็จต้องอาศัยความขยันหมั่นเพียรมากกว่าคนอื่นๆ และฟันฝ่าอุปสรรคต่างๆ ด้วยลำแข้งของตัวเองจึงจะบรรลุความสำเร็จดั่งต้องการ มีคนให้ความช่วยเหลือ มีความสำเร็จคอยอยู่อย่างแน่นอน จะได้คู่ดี เด่น มีหลักฐาน ความรู้ คู่ครองดี เก่งรอบด้าน คู้ครองจะช่วยเหลือกิจการงานใดๆได้เป็นอย่างดี แต่ระวังศัตรูไว้ให้มากเพราะค่านี้เลขศัตรูแรงมาก ระวังเรื่องกระทบกระทั่งเรื่องวาจา เลขนี้เกือบดีแต่มีอุปสรรคมากกว่าจะสำเร็จ"
26,26,"พลังแห่งความไม่มั่นคง","อาชีพการงานไม่มั่นคง เป็นเลขที่ไม่ดี เป็นหลักฐานเก็บเงินทองไม่อยู่ เป็นคนเพ้อฟัน มองโลกในแง่ดี ไว้ใจคนง่าย อาจจะถูกหลอกให้เสียทรัพย์ ต้องระวังเพศตรงข้ามเพราะจะทำให้เสียชื่อเสียงด้วยเรื่องทางเพศ การทำการสิ่งใดจะสำเร็จแต่มักจะมีผู้กลั่นแกล้งสำเร็จได้ไม่นานต้องล้มลง ระวังการคบค้าสมาคมกับใคร ต้องใส่ใจในการคบหา เพราะจะนำพาความพินาศความล้มเหลวในชีวิต มักจะเกิดจากการแนะนำผิดๆ จากเพื่อนฝูง และหุ้นส่วน"
27,27,"พลังแห่งความมุ่งมั่น","ชีวิตจะพบกับความสำเร็จได้ สิ่งที่เป็นความสำเร็จเป็นผลมากจากความตั้งใจ วิริยะอุตสาหะ เป็นคนรอบคอบ และนักจัดการที่ดี มักจะมีความคิดเห็นเป็นของตนเอง การดำเนินชีวิตมักจะเป็นไปอย่างรัดกุม เลยส่งผลทำให้เครียดไม่ค่อยมีความสุขกับความสำเร็จเท่าที่ควร ส่วนใหญ่ทุกข์ใจง่าย วุ่นวายกับการสร้างกฎเกณฑ์ต่างๆ ดวงชะตายังคงมีความผิดหวัง ความเศร้าอยู่บ้าง อาจจะต้องระวังการเจ็บป่วยอุบัติเหตุ บ้าง ไม่ควรประมาท"
